file_name,begin,end,wrong_word,correct_word,process,main_category,sub_category_1
n_dialog_11_3.txt,140,145,داداش,داداش؟,Omission,Punctuation,None
n_dialog_11_3.txt,181,185,خوبم,خوبم.,Replacement,Punctuation,None
n_dialog_11_3.txt,186,191,انشاء,ان شاء,Replacement,Form,Boundary
n_dialog_11_3.txt,198,202,خوبی,خوبی؟,Omission,Punctuation,None
n_dialog_11_3.txt,203,209,سلامتی,سلامتی؟,Omission,Punctuation,None
n_dialog_11_3.txt,210,219,انشاءالله,ان شاء اللّه,Replacement,Form,Boundary
n_dialog_11_3.txt,248,253,هستید,هستید.,Omission,Punctuation,None
n_dialog_11_3.txt,353,357,دونی,دانی,Replacement,Main signs,Consonants
n_dialog_11_3.txt,413,416,بله,بله،,Omission,Punctuation,None
n_dialog_11_3.txt,432,435,است,است.,Omission,Punctuation,None
n_dialog_11_3.txt,663,666,فرق,فرقی,Replacement,Main signs,Vowels
n_dialog_11_3.txt,722,725,فرق,فرقی,Replacement,Main signs,Vowels
n_dialog_11_3.txt,742,743,.,؟,Replacement,Punctuation,None
n_dialog_11_3.txt,804,808,دونم,دانم,Replacement,Main signs,Consonants
n_dialog_11_3.txt,833,834,.,؛,Replacement,Punctuation,None
n_dialog_11_3.txt,836,841,ببارد,ببارد؟,Omission,Punctuation,None
n_dialog_11_3.txt,914,918,خوبه,خوبه؛,Omission,Punctuation,None
n_dialog_11_3.txt,1091,1094,خوب,خب,Replacement,Main signs,Vowels
n_dialog_11_3.txt,1091,1094,خوب,خب،,Omission,Punctuation,None
n_dialog_11_3.txt,1102,1107,داداش,داداش.,Omission,Punctuation,None
n_dialog_11_3.txt,1135,1138,کنم,کنم.,Omission,Punctuation,None
n_dialog_11_3.txt,1140,1147,خداحافظ,خداحافظ.,Omission,Punctuation,None
n_dialog_11_3.txt,1206,1213,خداحافظ,خداحافظ.,Omission,Punctuation,None
n_dialog_11_30.txt,60,64,محمد,محمّد,Omission,Diacritic signs,Tashdid
n_dialog_11_30.txt,66,70,سلام,سلام.,Omission,Punctuation,None
n_dialog_11_30.txt,77,81,سلام,سلام.,Omission,Punctuation,None
n_dialog_11_30.txt,83,87,محمد,محمّد,Omission,Diacritic signs,Tashdid
n_dialog_11_30.txt,97,101,خوبه,خوبه؟,Omission,Punctuation,None
n_dialog_11_30.txt,103,107,محمد,محمّد,Omission,Diacritic signs,Tashdid
n_dialog_11_30.txt,116,119,شکر,شکر،,Omission,Punctuation,None
n_dialog_11_30.txt,120,124,خوبم,خوبم.,Omission,Punctuation,None
n_dialog_11_30.txt,126,130,محمد,محمّد,Omission,Diacritic signs,Tashdid
n_dialog_11_30.txt,146,150,کنید,کنید؟,Omission,Punctuation,None
n_dialog_11_30.txt,163,170,فروشکاه,فروشگاه,Replacement,Main signs,Consonants
n_dialog_11_30.txt,190,193,کنم,کنم.,Omission,Punctuation,None
n_dialog_11_30.txt,195,199,محمد,محمّد,Omission,Diacritic signs,Tashdid
n_dialog_11_30.txt,217,224,در امدت,درآمدت,Replacement,Form,Boundary
n_dialog_11_30.txt,217,224,در امدت,درآمدت,Omission,Diacritic signs,Madd
n_dialog_11_30.txt,232,233,.,؟,Replacement,Punctuation,None
n_dialog_11_30.txt,255,258,است,است.,Omission,Punctuation,None
n_dialog_11_30.txt,262,268,اندازه,اندازه‌ی,Omission,Main signs,Consonants
n_dialog_11_30.txt,269,274,زندکی,زندگی,Replacement,Main signs,Consonants
n_dialog_11_30.txt,294,298,محمد,محمّد,Omission,Diacritic signs,Tashdid
n_dialog_11_30.txt,310,313,خوب,خب,Replacement,Main signs,Vowels
n_dialog_11_30.txt,352,357,مانند,مانند:,Omission,Punctuation,None
n_dialog_11_30.txt,393,397,محمد,محمّد,Omission,Diacritic signs,Tashdid
n_dialog_11_30.txt,399,402,هان,آهان!,Omission,Punctuation,None
n_dialog_11_30.txt,399,402,هان,آهان,Omission,Main signs,Consonants
n_dialog_11_30.txt,399,402,هان,آهان!,Omission,Diacritic signs,Madd
n_dialog_11_30.txt,403,411,انشاالله,ان‌شاءاللّه,Replacement,Form,Boundary
