Nationality,ADD,ADD,ADD,ADD,ADD,ADD,ADD,ADD,ADD,Displacement,Displacement,Displacement,Displacement,Displacement,Displacement,Displacement,Displacement,Omission,Omission,Omission,Omission,Omission,Omission,Omission,Omission,Omission,Omission,Replacement,Replacement,Replacement,Replacement,Replacement,Replacement,Replacement,Replacement,Replacement,Replacement,Total Errors
,Diacritic signs,Diacritic signs,Diacritic signs,Form,Form,Form,Form,Main signs,Main signs,Diacritic signs,Diacritic signs,Diacritic signs,Form,Form,Form,Main signs,Main signs,Diacritic signs,Diacritic signs,Diacritic signs,Form,Form,Form,Form,Main signs,Main signs,Punctuation,Diacritic signs,Diacritic signs,Diacritic signs,Form,Form,Form,Form,Main signs,Main signs,Punctuation,
,Madd,Tanwin,Tashdid,Alif Lam,Boundary,Dot,Place,Consonants,Vowels,Madd,Tanwin,Tashdid,Boundary,Dot,Place,Consonants,Vowels,Madd,Tanwin,Tashdid,Alif Lam,Boundary,Dot,Place,Consonants,Vowels,Boundary,Madd,Tanwin,Tashdid,Alif Lam,Boundary,Dot,Place,Consonants,Vowels,Dot,
Afghanistan,0,0,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,2,1,0,0,0,0,0,3,0,0,3,0,0,25
Africa,1,0,2,0,0,0,0,1,11,0,0,0,0,0,0,3,1,10,1,15,0,0,0,0,18,15,0,0,0,0,0,0,0,0,32,5,0,115
Algeria,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,10
Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,5,4,0,14
Armenia,3,0,0,0,0,0,0,21,3,0,0,0,0,0,0,10,0,5,1,12,0,0,1,0,27,6,0,0,0,0,0,18,0,0,52,14,0,173
Australia,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,1,2,2,0,0,0,0,0,16,1,0,1,0,0,0,7,0,0,14,1,0,50
Austria,2,0,1,0,0,0,0,8,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,0,15,3,0,39
Azerbaijan,0,0,0,0,1,1,0,19,5,0,0,0,1,0,0,0,2,10,5,28,0,0,0,4,43,9,0,0,1,0,0,32,0,3,84,24,0,272
Bahrain,2,0,0,3,2,0,0,4,6,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,7,4,0,0,0,0,0,4,0,0,17,4,0,65
Bangladesh,0,0,0,0,2,0,0,5,1,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,5,4,0,0,0,0,0,7,0,0,12,1,0,43
Belarus,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,15,0,0,0,0,0,0,0,0,0,13,2,0,41
Belgium,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,5,1,0,0,0,0,0,0,0,0,3,2,0,22
Bosnia and Herzegovina,0,1,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,5,4,0,21
Bulgaria,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,12,0,0,0,0,2,0,0,0,0,0,0,2,0,0,8,2,0,30
Burkina Faso,0,0,2,0,5,0,0,7,15,0,0,0,0,1,0,0,0,0,0,6,1,2,0,1,10,5,0,0,0,0,0,2,0,0,39,2,0,98
Cameroon,2,0,2,0,0,0,0,7,5,0,0,0,0,0,0,0,0,2,0,12,1,0,0,0,7,11,0,2,0,0,1,4,0,0,10,4,0,70
Chile,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
China,2,0,0,0,1,1,0,27,6,1,0,0,0,0,0,11,0,4,4,7,0,1,4,0,25,7,0,0,0,0,0,30,0,3,59,16,0,209
Colombia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,5
Congo,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,12
Croatia,0,0,0,0,0,0,0,5,3,0,0,0,0,0,2,5,0,0,1,3,0,0,0,0,5,3,0,0,0,0,0,2,1,0,14,11,0,55
Czech Republic,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,11,0,25
France,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,3,0,2,0,8,0,1,0,0,8,6,0,0,0,1,0,5,0,0,25,23,0,92
Gambia,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,5,1,0,0,0,0,0,10,0,0,9,3,0,34
Georgia,1,0,0,0,0,0,0,18,1,0,0,0,1,0,1,3,0,1,2,12,0,0,1,0,31,5,0,2,0,0,0,12,0,0,68,19,0,178
Germany,3,0,0,0,0,0,0,11,4,0,0,0,0,0,0,2,0,5,5,11,0,1,4,0,15,2,0,0,0,0,0,20,2,0,46,13,0,144
Ghana,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,7,0,18
Guinea,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,11
Hungary,1,1,2,0,0,0,0,5,0,0,0,0,0,0,0,2,0,4,1,6,0,0,0,0,10,2,0,0,0,0,0,7,0,0,22,5,0,68
India,4,1,7,0,9,2,0,71,33,0,1,1,1,0,2,21,4,22,3,86,0,3,6,3,92,42,1,0,0,2,0,114,0,4,253,82,0,870
Indonesia,2,0,1,0,0,0,0,7,3,0,0,0,0,0,0,0,1,3,1,4,0,0,0,0,5,7,0,0,0,0,0,4,0,0,4,3,0,45
Iran,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,3,0,3,1,0,0,0,0,0,3,0,0,7,3,0,27
Iraq,4,1,4,1,1,3,0,10,10,0,0,0,0,0,0,3,0,18,2,45,0,0,4,1,60,12,0,0,0,3,0,30,1,1,55,19,0,288
Italy,2,0,0,0,1,0,0,19,1,0,0,0,0,0,0,0,0,3,0,1,0,0,2,0,21,0,0,1,0,0,0,6,0,0,25,12,0,94
Ivory Coast,0,0,0,0,3,0,0,7,12,0,0,0,1,0,0,0,0,3,0,2,0,0,0,0,5,2,0,2,0,0,0,2,2,0,11,0,0,52
Kazakhstan,0,0,0,0,0,0,0,12,1,0,0,0,1,0,0,0,0,0,2,5,0,0,0,0,7,0,0,0,0,1,0,4,0,0,17,6,0,56
Kenya,0,0,0,0,0,0,0,4,14,0,0,0,0,0,0,1,1,0,0,5,0,1,0,0,9,5,0,0,0,0,0,1,0,0,8,2,0,51
Kuwait,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
Kyrgyzstan,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,7,0,0,0,0,0,0,2,0,0,10,3,0,31
Lebanon,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,3,0,1,0,5,0,0,0,0,8,0,0,0,0,0,0,4,0,0,18,6,0,52
Madagascar,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,0,1,1,1,0,1,0,0,9,10,0,0,0,0,0,1,0,0,11,4,0,44
