Nationality,ADD,ADD,ADD,ADD,Displacement,Displacement,Displacement,Displacement,Omission,Omission,Omission,Omission,Replacement,Replacement,Replacement,Replacement,Total Errors
,Diacritic signs,Form,Main signs,Punctuation,Diacritic signs,Form,Main signs,Punctuation,Diacritic signs,Form,Main signs,Punctuation,Diacritic signs,Form,Main signs,Punctuation,
Afghanistan,0.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,22.0,0.0,3.0,3.0,0.0,44.0
Africa,3.0,0.0,12.0,5.0,0.0,0.0,4.0,0.0,10.0,0.0,33.0,38.0,0.0,0.0,37.0,7.0,149.0
Algeria,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,6.0
Argentina,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,9.0,0.0,17.0
Armenia,3.0,0.0,24.0,1.0,0.0,0.0,10.0,0.0,5.0,1.0,33.0,9.0,0.0,18.0,66.0,8.0,178.0
Australia,1.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,17.0,1.0,1.0,7.0,15.0,2.0,51.0
Austria,3.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,18.0,2.0,41.0
Azerbaijan,0.0,2.0,24.0,5.0,0.0,1.0,2.0,0.0,10.0,4.0,52.0,77.0,1.0,35.0,108.0,14.0,335.0
Bahrain,2.0,5.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,105.0,0.0,4.0,21.0,7.0,167.0
Bangladesh,0.0,2.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,19.0,0.0,7.0,13.0,1.0,58.0
Belarus,1.0,0.0,8.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,15.0,2.0,0.0,0.0,15.0,2.0,46.0
Belgium,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,5.0,1.0,20.0
Bosnia and Herzegovina,1.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,19.0,0.0,2.0,9.0,3.0,44.0
Bulgaria,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,10.0,0.0,18.0
Burkina Faso,2.0,5.0,22.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,15.0,17.0,0.0,2.0,41.0,12.0,122.0
Cameroon,4.0,0.0,12.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,18.0,8.0,2.0,5.0,14.0,30.0,99.0
Chile,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0
China,2.0,2.0,33.0,4.0,1.0,0.0,11.0,0.0,4.0,5.0,32.0,81.0,0.0,33.0,75.0,13.0,296.0
Colombia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,5.0
Congo,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,13.0
Croatia,0.0,0.0,8.0,3.0,0.0,2.0,5.0,0.0,0.0,0.0,8.0,0.0,0.0,3.0,25.0,0.0,54.0
Czech Republic,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,8.0,0.0,1.0,11.0,2.0,32.0
France,0.0,0.0,10.0,2.0,0.0,0.0,3.0,0.0,2.0,1.0,14.0,12.0,1.0,5.0,48.0,0.0,98.0
Gambia,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,16.0,0.0,10.0,12.0,0.0,48.0
Georgia,1.0,0.0,19.0,11.0,0.0,2.0,3.0,0.0,1.0,1.0,36.0,9.0,2.0,12.0,87.0,3.0,187.0
Germany,3.0,0.0,15.0,2.0,0.0,0.0,2.0,0.0,5.0,5.0,17.0,6.0,0.0,22.0,59.0,4.0,140.0
Ghana,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,10.0,0.0,22.0
Guinea,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,8.0
Hungary,4.0,0.0,5.0,9.0,0.0,0.0,2.0,0.0,4.0,0.0,12.0,4.0,0.0,7.0,27.0,4.0,78.0
India,12.0,11.0,104.0,41.0,2.0,3.0,25.0,0.0,22.0,12.0,134.0,342.0,2.0,119.0,336.0,76.0,1241.0
Indonesia,3.0,0.0,10.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,12.0,8.0,0.0,4.0,7.0,1.0,50.0
Iran,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,3.0,0.0,3.0,10.0,2.0,30.0
Iraq,9.0,5.0,20.0,15.0,0.0,0.0,3.0,0.0,18.0,5.0,73.0,247.0,3.0,32.0,74.0,30.0,534.0
Italy,2.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,21.0,3.0,1.0,6.0,37.0,6.0,102.0
Ivory Coast,0.0,3.0,19.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,7.0,1.0,2.0,4.0,11.0,3.0,54.0
Kazakhstan,0.0,0.0,13.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,4.0,23.0,1.0,51.0
Kenya,0.0,0.0,18.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,14.0,7.0,0.0,1.0,10.0,1.0,57.0
Kuwait,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0
Kyrgyzstan,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,3.0,0.0,2.0,13.0,0.0,32.0
Lebanon,0.0,0.0,6.0,3.0,1.0,0.0,3.0,1.0,1.0,0.0,8.0,30.0,0.0,4.0,24.0,5.0,86.0
Madagascar,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,19.0,3.0,0.0,1.0,15.0,3.0,48.0
Malawi,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,8.0
Malaysia,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,2.0,3.0,2.0,20.0
Mali,3.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,5.0,0.0,2.0,15.0,0.0,34.0
Myanmar,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,29.0,0.0,0.0,6.0,0.0,42.0
Netherlands,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,3.0,1.0,0.0,11.0
Niger,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,15.0
Nigeria,6.0,5.0,43.0,3.0,1.0,0.0,9.0,0.0,3.0,2.0,44.0,53.0,0.0,28.0,101.0,20.0,318.0
North Macedonia,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,3.0,0.0,12.0
Oman,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,8.0,0.0,14.0
Pakistan,29.0,18.0,166.0,51.0,5.0,3.0,24.0,0.0,18.0,29.0,220.0,665.0,8.0,197.0,361.0,115.0,1909.0
Palestine,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,7.0
Philippines,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0,4.0,1.0,13.0
Poland,1.0,0.0,24.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,24.0,1.0,1.0,15.0,37.0,2.0,110.0
Portugal,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,3.0,1.0,7.0,1.0,0.0,0.0,22.0,0.0,39.0
Romania,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,3.0,0.0,1.0,7.0,0.0,23.0
Russia,2.0,4.0,18.0,6.0,0.0,0.0,4.0,0.0,4.0,5.0,28.0,64.0,2.0,22.0,68.0,4.0,231.0
Rwanda,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,2.0,13.0,0.0,29.0
Saudi Arabia,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,13.0,0.0,2.0,2.0,0.0,25.0
Senegal,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,1.0,3.0,0.0,19.0
Serbia,0.0,0.0,4.0,31.0,0.0,1.0,0.0,1.0,4.0,0.0,19.0,2.0,0.0,1.0,35.0,0.0,98.0
Slovakia,2.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,5.0,0.0,20.0
Spain,0.0,0.0,13.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,5.0,1.0,0.0,1.0,39.0,0.0,66.0
Sri Lanka,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,14.0
Sudan,2.0,1.0,4.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,5.0,0.0,22.0
Switzerland,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,6.0
Syria,2.0,0.0,10.0,9.0,0.0,1.0,0.0,1.0,3.0,2.0,19.0,63.0,0.0,23.0,39.0,8.0,180.0
Tajikistan,0.0,1.0,34.0,39.0,0.0,2.0,1.0,0.0,1.0,1.0,24.0,12.0,1.0,11.0,90.0,1.0,218.0
Tanzania,1.0,0.0,12.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,33.0,0.0,24.0,45.0,3.0,134.0
Thailand,2.0,6.0,14.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,22.0,20.0,0.0,4.0,18.0,8.0,100.0
Tunisia,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,1.0,6.0,1.0,23.0
Turkey,2.0,2.0,54.0,16.0,0.0,5.0,4.0,0.0,10.0,12.0,52.0,11.0,3.0,48.0,143.0,1.0,363.0
Uganda,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,5.0,0.0,14.0
Ukraine,2.0,0.0,10.0,2.0,0.0,1.0,6.0,0.0,1.0,2.0,9.0,3.0,0.0,3.0,14.0,0.0,53.0
United Kingdom,2.0,2.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,12.0,7.0,2.0,1.0,35.0,1.0,75.0
United States of America,1.0,0.0,3.0,4.0,0.0,0.0,3.0,0.0,5.0,3.0,10.0,9.0,1.0,22.0,36.0,1.0,98.0
Uzbekistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0
Yemen,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,7.0,0.0,1.0,24.0,0.0,1.0,13.0,1.0,51.0
