Nationality,ADD,ADD,ADD,ADD,ADD,ADD,ADD,ADD,ADD,Displacement,Displacement,Displacement,Displacement,Displacement,Displacement,Displacement,Displacement,Omission,Omission,Omission,Omission,Omission,Omission,Omission,Replacement,Replacement,Replacement,Replacement,Replacement,Replacement,Replacement,Replacement,Replacement,Total Errors
,Diacritic signs,Diacritic signs,Diacritic signs,Form,Form,Form,Form,Main signs,Main signs,Diacritic signs,Diacritic signs,Diacritic signs,Form,Form,Form,Main signs,Main signs,Diacritic signs,Form,Form,Form,Form,Main signs,Main signs,Diacritic signs,Diacritic signs,Diacritic signs,Form,Form,Form,Form,Main signs,Main signs,
,Madd,Tanwin,Tashdid,Alif Lam,Boundary,Dot,Place,Consonants,Vowels,Madd,Tanwin,Tashdid,Boundary,Dot,Place,Consonants,Vowels,Madd,Alif Lam,Boundary,Dot,Place,Consonants,Vowels,Madd,Tanwin,Tashdid,Alif Lam,Boundary,Dot,Place,Consonants,Vowels,
Afghanistan,0.0,0.0,0.0,0.0,5.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,22.0
Africa,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,10.0,0.0,0.0,0.0,0.0,18.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,5.0,99.0
Algeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0
Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,14.0
Armenia,3.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,5.0,0.0,0.0,1.0,0.0,27.0,6.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,52.0,14.0,160.0
Australia,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,16.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,14.0,1.0,48.0
Austria,2.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,3.0,38.0
Azerbaijan,0.0,0.0,0.0,0.0,1.0,1.0,0.0,19.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,4.0,43.0,9.0,0.0,1.0,0.0,0.0,32.0,0.0,3.0,84.0,24.0,239.0
Bahrain,2.0,0.0,0.0,3.0,2.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,17.0,4.0,54.0
Bangladesh,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,12.0,1.0,38.0
Belarus,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,40.0
Belgium,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,14.0
Bosnia and Herzegovina,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,4.0,20.0
Bulgaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,2.0,17.0
Burkina Faso,0.0,0.0,2.0,0.0,5.0,0.0,0.0,7.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,10.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,39.0,2.0,92.0
Cameroon,2.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,7.0,11.0,2.0,0.0,0.0,1.0,4.0,0.0,0.0,10.0,4.0,58.0
Chile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
China,2.0,0.0,0.0,0.0,1.0,1.0,0.0,27.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,4.0,0.0,1.0,4.0,0.0,25.0,7.0,0.0,0.0,0.0,0.0,30.0,0.0,3.0,59.0,16.0,198.0
Colombia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0
Congo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,12.0
Croatia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,14.0,11.0,51.0
Czech Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,22.0
